pm_session_24,title_24,pm_session_25,title_25,travel_before,travel_after,travel_number,is_linked
10001552,FSY AB Calgary 01,10001637,,3,Linked,6,1
10001473,FSY AB Calgary 02,10001655,,Linked,5,6,1
10001506,FSY AB Calgary 03,10001668,,3,4,6,0
10001570,FSY AB Edmonton,10001865,FSY AB Edmonton 01,3,Linked,6,1
,,10001867,FSY AB Edmonton 02,Linked,5,6,1
10001305,AK Anchorage 01,10001607,,3,Linked,6,1
10001330,AK Anchorage 02,10001616,,Linked,Linked,6,1
10001328,AK Anchorage 03,10001626,,Linked,4,6,1
10001354,AZ Flagstaff 01,10001701,,6,Linked,5,1
10001384,AZ Flagstaff 02,10001702,,Linked,6,5,1
10001417,AZ Flagstaff 03,10001716,,6,Linked,5,1
10001440,AZ Flagstaff 04,10001722,FSY AZ Flagstaff 04A,Linked,6,5,1
,,10001723,FSY AZ Flagstaff 04B,6,Linked,5,1
10001474,AZ Flagstaff 05,10001731,,Linked,6,5,1
10001294,AZ Prescott 01,10001811,,x,Linked,6,1
10001306,AZ Prescott 02,10001812,,Linked,5,6,1
10001307,AZ Tempe 01,10001671,,6,Linked,6,1
10001331,AZ Tempe 02,10001673,,Linked,6,6,1
10001295,AZ Thatcher 01,10001599,,x,Linked,6,1
10001308,AZ Thatcher 02,10001601,,Linked,5,6,1
10001332,FSY AZ Thatcher 03 - Spanish Supported,10001609,FSY AZ Thatcher 03,6,5,6,0
10001356,AZ Thatcher 04,10001617,,6,Linked,6,1
10001385,AZ Thatcher 05,10001627,,Linked,5,6,1
10001441,AZ Thatcher 06,10001638,,6,3,6,0
10001296,AZ Tucson 01,10001669,,x,Linked,6,1
10001309,AZ Tucson 02,10001670,FSY AZ Tucson 02 - Spanish Supported,Linked,6,6,1
10001333,AZ Tucson 03,10001674,,6,Linked,6,1
10001357,AZ Tucson 04,10001676,,Linked,6,6,1
10001386,AZ Tucson 05,10001680,,5,5,6,0
10001334,CA Merced 01,10001791,,5,Linked,6,1
10001358,CA Merced 02,10001794,,Linked,6,6,1
10001418,CA Redlands 01,10001646,,4,Linked,6,1
10001442,CA Redlands 02,10001656,,Linked,6,6,1
10001476,CA Redlands 03,10001664,FSY CA Redlands 03 - Spanish Supported,4,3,6,0
10001335,CA Rohnert Park 01,10001610,,6,Linked,6,1
10001359,CA Rohnert Park 02,10001618,,Linked,5,6,1
10001387,CA Rohnert Park 03,10001628,,5,5,6,0
10001443,CA Rohnert Park 04,10001647,,5,Linked,6,1
10001477,CA Rohnert Park 05,10001657,FSY CA Rohnert Park 05 - Spanish Supported,Linked,6,6,1
10001336,CA San Diego 01,10001611,,6,Linked,6,1
10001360,CA San Diego 02,10001619,,Linked,6,6,1
10001388,CA San Diego 03,10001629,,6,Linked,6,1
10001419,CA San Diego 04,10001639,,Linked,5,6,1
10001420,CA Santa Barbara 01,10001682,,6,Linked,6,1
10001444,CA Santa Barbara 02,10001683,,Linked,4,6,1
10001310,CO Colorado Springs 01,10001602,,4,Linked,6,1
10001337,CO Colorado Springs 02,10001612,,Linked,6,6,1
10001361,CO Colorado Springs 03,10001620,,5,Linked,6,1
10001389,CO Colorado Springs 04,10001630,,Linked,6,6,1
10001479,CO Fort Collins 01,10001603,,5,Linked,6,1
10001509,CO Fort Collins 02,10001613,,Linked,5,6,1
10001445,CO Grand Junction 01,10001658,,6,6,5,0
10001480,CO Grand Junction 02,10001661,,6,6,5,0
10001362,FSY FL Deland 01 - Spanish Supported,10001833,FSY FL Deland 01,3,5,6,0
10001390,FL Deland 02,10001834,,3,Linked,6,1
10001421,FL Deland 03,10001837,FSY FL Deland 03 - Spanish Supported,Linked,5,6,1
10001511,FL Tallahassee 01,10001724,,3,Linked,6,1
10001537,FL Tallahassee 02,10001732,,Linked,5,6,1
10001596,GA Cochran 01,10001745,,5,Linked,6,1
10001597,GA Cochran 02,10001747,,Linked,5,6,1
,,10001749,FSY GA Cochran 03,3,5,6,0
10001446,GA Milledgeville 01,10001848,FSY GA Milledgeville,5,3,6,0
10001447,HI Laie 01,10001820,,3,Linked,6,1
10001482,HI Laie 02,10001821,,Linked,Linked,6,1
10001422,HI Laie 03,10001824,,Linked,4,6,1
10001512,IA Cedar Falls,10001648,,3,5,6,0
10001297,ID Boise 01A,10001782,FSY ID Boise 01,6,6,5,0
10001391,ID Boise 02,10001785,FSY ID Boise 02A,6,6,5,0
,,10001786,FSY ID Boise 02B,6,6,5,0
,,10001787,FSY ID Boise 02C,6,6,5,0
